Location,Set,Players,CardDescription,CardNumber,FrontCardMainImagePath,FrontCardThumbnailImagePath,BackCardMainImagePath,BackCardThumbnailImagePath,Year
Basketball 2,Signatures,Danny Granger,Signatures Stars,331,SignaturesStars331front.JPG,SignaturesStars331front_thumb.JPG,SignaturesStars331back.JPG,SignaturesStars331back.JPG,2012-2013
Basketball 2,Signatures,Carlos Delfino,Signatures,96,Signatures96front.JPG,Signatures96front_thumb.JPG,Signatures96back.JPG,Signatures96back.JPG,2012-2013
Basketball 2,Signatures,Tornike Shengelia,Signatures Die Cut Autographs,46,SignaturesDieCutAutographs46front.JPG,SignaturesDieCutAutographs46front_thumb.JPG,SignaturesDieCutAutographs46back.JPG,SignaturesDieCutAutographs46back.JPG,2012-2013
Basketball 2,Signatures,Alan Anderson,Signatures,74,Signatures74front.JPG,Signatures74front_thumb.JPG,Signatures74back.JPG,Signatures74back.JPG,2012-2013
Basketball 2,Brilliance,John Stockton,Brilliance Springfield,14,BrillianceSpringfield14front.JPG,BrillianceSpringfield14front_thumb.JPG,BrillianceSpringfield14back.JPG,BrillianceSpringfield14back.JPG,2012-2013
Basketball 2,"Innovation ",Arnett Moultrie,Innovation Foundations Ink,30,InnovationFoundationsInk30front.JPG,InnovationFoundationsInk30front_thumb.JPG,InnovationFoundationsInk30back.JPG,InnovationFoundationsInk30back.JPG,2013-2014
Basketball 10,"Innovation ",Alex Len,Innovation Rookie Jumbo Jerseys,14,InnovationRookieJumboJerseys14front.JPG,InnovationRookieJumboJerseys14front_thumb.JPG,InnovationRookieJumboJerseys14back.JPG,InnovationRookieJumboJerseys14back.JPG,2013-2014
Basketball 1,"Innovation ",Carlos Boozer,Innovation,73,Innovation73front.JPG,Innovation73front_thumb.JPG,Innovation73back.JPG,Innovation73back.JPG,2013-2014
Basketball 1,"Innovation ",Trey Burke,Innovation All Rookies,5,InnovationAllRookies5front.JPG,InnovationAllRookies5front_thumb.JPG,InnovationAllRookies5back.JPG,InnovationAllRookies5back.JPG,2013-2014
Basketball 1,"Innovation ",Chris Paul,Innovation,27,Innovation27front.JPG,Innovation27front_thumb.JPG,Innovation27back.JPG,Innovation27back.JPG,2013-2014
Basketball 10,"Innovation ",Solomon Hill,Innovation Rookie Jumbo Jerseys,8,InnovationRookieJumboJerseys8front.JPG,InnovationRookieJumboJerseys8front_thumb.JPG,InnovationRookieJumboJerseys8back.JPG,InnovationRookieJumboJerseys8back.JPG,2013-2014
Basketball 1,Brilliance,Kobe Bryant,Brilliance,98,Brilliance98front.JPG,Brilliance98front_thumb.JPG,Brilliance98back.JPG,Brilliance98back.JPG,2012-2013
Basketball 1,"Innovation ",Eric Gordon,Innovation,10,Innovation10front.JPG,Innovation10front_thumb.JPG,Innovation10back.JPG,Innovation10back.JPG,2013-2014
Basketball 1,"Innovation ",Arron Afflalo,Innovation,65,Innovation65front.JPG,Innovation65front_thumb.JPG,Innovation65back.JPG,Innovation65back.JPG,2013-2014
Basketball 1,"Innovation ",Eric Bledsoe,Innovation Stained Glass,16,InnovationStainedGlass16front.JPG,InnovationStainedGlass16front_thumb.JPG,InnovationStainedGlass16back.JPG,InnovationStainedGlass16back.JPG,2013-2014
Basketball 1,"Innovation ",J.J. Redick,Innovation,44,Innovation44front.JPG,Innovation44front_thumb.JPG,Innovation44back.JPG,Innovation44back.JPG,2013-2014
Basketball 1,"Innovation ",Spencer Hawes,Innovation Top Notch Autographs,10,InnovationTopNotchAutographs10front.JPG,InnovationTopNotchAutographs10front_thumb.JPG,InnovationTopNotchAutographs10back.JPG,InnovationTopNotchAutographs10back.JPG,2013-2014
Basketball 1,"Innovation ",Len Elmore,Innovation Foundations Ink,61,InnovationFoundationsInk61front.JPG,InnovationFoundationsInk61front_thumb.JPG,InnovationFoundationsInk61back.JPG,InnovationFoundationsInk61back.JPG,2013-2014
Basketball 1,"Innovation ",Serge Ibaka,Innovation Stained Glass,21,InnovationStainedGlass21front.JPG,InnovationStainedGlass21front_thumb.JPG,InnovationStainedGlass21back.JPG,InnovationStainedGlass21back.JPG,2013-2014
Basketball 1,"Innovation ",Iman Shumpert,Innovation Blue,25,InnovationBlue25front.JPG,InnovationBlue25front_thumb.JPG,InnovationBlue25back.JPG,InnovationBlue25back.JPG,2013-2014
Basketball 1,"Innovation ",Carmelo Anthony,Innovation,66,Innovation66front.JPG,Innovation66front_thumb.JPG,Innovation66back.JPG,Innovation66back.JPG,2013-2014
Basketball 1,"Innovation ",Gerald Green,Innovation Stained Glass,74,InnovationStainedGlass74front.JPG,InnovationStainedGlass74front_thumb.JPG,InnovationStainedGlass74back.JPG,InnovationStainedGlass74back.JPG,2013-2014
Basketball 10,"Innovation ",Bob Dandridge,Innovation Foundations Ink,58,InnovationFoundationsInk58front.JPG,InnovationFoundationsInk58front_thumb.JPG,InnovationFoundationsInk58back.JPG,InnovationFoundationsInk58back.JPG,2013-2014
Basketball 1,"Innovation ",Carlos Boozer,Innovation Blue,73,InnovationBlue73front.JPG,InnovationBlue73front_thumb.JPG,InnovationBlue73back.JPG,InnovationBlue73back.JPG,2013-2014
Basketball 1,"Innovation ",Deron Williams,Innovation Juggernauts,11,InnovationJuggernauts11front.JPG,InnovationJuggernauts11front_thumb.JPG,InnovationJuggernauts11back.JPG,InnovationJuggernauts11back.JPG,2013-2014
Basketball 1,"Innovation ",Dennis Schroder,Innovation All Rookies,15,InnovationAllRookies15front.JPG,InnovationAllRookies15front_thumb.JPG,InnovationAllRookies15back.JPG,InnovationAllRookies15back.JPG,2013-2014
Basketball 1,"Innovation ",Gus Williams,Innovation Top Notch Autographs,33,InnovationTopNotchAutographs33front.JPG,InnovationTopNotchAutographs33front_thumb.JPG,InnovationTopNotchAutographs33back.JPG,InnovationTopNotchAutographs33back.JPG,2013-2014
Basketball 1,"Innovation ",Marc Gasol,Innovation,34,Innovation34front.JPG,Innovation34front_thumb.JPG,Innovation34back.JPG,Innovation34back.JPG,2013-2014
Basketball 1,"Innovation ",Al Horford,Innovation Stained Glass,61,InnovationStainedGlass61front.JPG,InnovationStainedGlass61front_thumb.JPG,InnovationStainedGlass61back.JPG,InnovationStainedGlass61back.JPG,2013-2014
Basketball 10,"Innovation ",Larry Nance,Innovation Game Jerseys Autographs,33,InnovationGameJerseysAutographs33front.JPG,InnovationGameJerseysAutographs33front_thumb.JPG,InnovationGameJerseysAutographs33back.JPG,InnovationGameJerseysAutographs33back.JPG,2013-2014
Basketball 1,"Innovation ",Dennis Schroder,Innovation Rookie Stained Glass,16,InnovationRookieStainedGlass16front.JPG,InnovationRookieStainedGlass16front_thumb.JPG,InnovationRookieStainedGlass16back.JPG,InnovationRookieStainedGlass16back.JPG,2013-2014
Basketball 1,"Innovation ",Kevin Martin,Innovation Stained Glass,29,InnovationStainedGlass29front.JPG,InnovationStainedGlass29front_thumb.JPG,InnovationStainedGlass29back.JPG,InnovationStainedGlass29back.JPG,2013-2014
Basketball 10,Prizm,Adreian Payne,Prizm Jerseys Prizms Blue Mojo,79,PrizmJerseysPrizmsBlueMojo79front.JPG,PrizmJerseysPrizmsBlueMojo79front_thumb.JPG,PrizmJerseysPrizmsBlueMojo79back.JPG,PrizmJerseysPrizmsBlueMojo79back.JPG,2014-2015
Basketball 1,"Innovation ","P.J. Tucker, Eric Bledsoe, Goran Dragic, Channing Frye, Miles Plumlee",Innovation Starters,23,InnovationStarters23front.JPG,InnovationStarters23front_thumb.JPG,InnovationStarters23back.JPG,InnovationStarters23back.JPG,2013-2014
Basketball 10,Brilliance,J.J. Hickson,Brilliance Game Time Jerseys,65,BrillianceGameTimeJerseys65front.JPG,BrillianceGameTimeJerseys65front_thumb.JPG,BrillianceGameTimeJerseys65back.JPG,BrillianceGameTimeJerseys65back.JPG,2012-2013
Basketball 1,Brilliance,David Robinson,Brilliance Springfield,23,BrillianceSpringfield23front.JPG,BrillianceSpringfield23front_thumb.JPG,BrillianceSpringfield23back.JPG,BrillianceSpringfield23back.JPG,2012-2013
Basketball 1,Brilliance,Kevin Durant,Brilliance,2,Brilliance2front.JPG,Brilliance2front_thumb.JPG,Brilliance2back.JPG,Brilliance2back.JPG,2012-2013
Basketball 10,Brilliance,J.J. Barea,Brilliance Game Time Jerseys,5,BrillianceGameTimeJerseys5front.JPG,BrillianceGameTimeJerseys5front_thumb.JPG,BrillianceGameTimeJerseys5back.JPG,BrillianceGameTimeJerseys5back.JPG,2012-2013
Basketball 1,Brilliance,Kareem Abdul-Jabbar,Brilliance Springfield,6,BrillianceSpringfield6front.JPG,BrillianceSpringfield6front_thumb.JPG,BrillianceSpringfield6back.JPG,BrillianceSpringfield6back.JPG,2012-2013
Basketball 1,Brilliance,Carmelo Anthony,Brilliance Spellbound,75,BrillianceSpellbound75front.JPG,BrillianceSpellbound75front_thumb.JPG,BrillianceSpellbound75back.JPG,BrillianceSpellbound75back.JPG,2012-2013
Basketball 1,Brilliance,Russell Westbrook,Brilliance Spellbound,8,BrillianceSpellbound8front.JPG,BrillianceSpellbound8front_thumb.JPG,BrillianceSpellbound8back.JPG,BrillianceSpellbound8back.JPG,2012-2013
Basketball 1,Brilliance,Blake Griffin,Brilliance Spellbound,32,BrillianceSpellbound32front.JPG,BrillianceSpellbound32front_thumb.JPG,BrillianceSpellbound32back.JPG,BrillianceSpellbound32back.JPG,2012-2013
Basketball 9,"Innovation ",Darrell Griffith,Innovation Top Notch Autographs,83,InnovationTopNotchAutographs83front.JPG,InnovationTopNotchAutographs83front_thumb.JPG,InnovationTopNotchAutographs83back.JPG,InnovationTopNotchAutographs83back.JPG,2013-2014
Basketball 3,Chronicles,Jaren Jackson Jr.,Chronicles Playoff,177,ChroniclesPlayoff177front.JPG,ChroniclesPlayoff177front_thumb.JPG,ChroniclesPlayoff177back.JPG,ChroniclesPlayoff177back.JPG,2018-2019
Basketball 3,Chronicles,Kevin Durant,Chronicles Pink,57,ChroniclesPink57front.JPG,ChroniclesPink57front_thumb.JPG,ChroniclesPink57back.JPG,ChroniclesPink57back.JPG,2018-2019
Basketball 3,Chronicles,Shai Gilgeous-Alexander,Chronicles Essentials,216,ChroniclesEssentials216front.JPG,ChroniclesEssentials216front_thumb.JPG,ChroniclesEssentials216back.JPG,ChroniclesEssentials216back.JPG,2018-2019
Basketball 3,Donruss,James Wiseman,Donruss,226,Donruss226front.JPG,Donruss226front_thumb.JPG,Donruss226back.JPG,Donruss226back.JPG,2020-2021
Basketball 3,Chronicles,Stephen Curry,Chronicles,90,Chronicles90front.JPG,Chronicles90front_thumb.JPG,Chronicles90back.JPG,Chronicles90back.JPG,2018-2019
Basketball 3,Chronicles,Robert Williams III,Chronicles,509,Chronicles509front.JPG,Chronicles509front_thumb.JPG,Chronicles509back.JPG,Chronicles509back.JPG,2018-2019
Basketball 3,Chronicles,Anthony Davis,Chronicles,6,Chronicles6front.JPG,Chronicles6front_thumb.JPG,Chronicles6back.JPG,Chronicles6back.JPG,2018-2019
Basketball 3,Chronicles,Gary Trent Jr.,Chronicles Essentials,211,ChroniclesEssentials211front.JPG,ChroniclesEssentials211front_thumb.JPG,ChroniclesEssentials211back.JPG,ChroniclesEssentials211back.JPG,2018-2019
Basketball 3,Prestige,Carmelo Anthony,Prestige,6,Prestige6front.JPG,Prestige6front_thumb.JPG,Prestige6back.JPG,Prestige6back.JPG,2012-2013
Basketball 3,Prestige,Kevin Durant,Prestige,41,Prestige41front.JPG,Prestige41front_thumb.JPG,Prestige41back.JPG,Prestige41back.JPG,2012-2013
Basketball 3,Prestige,Draymond Green,Prestige,237,Prestige237front.JPG,Prestige237front_thumb.JPG,Prestige237back.JPG,Prestige237back.JPG,2012-2013
Basketball 3,Prestige,Derrick Rose,Prestige,118,Prestige118front.JPG,Prestige118front_thumb.JPG,Prestige118back.JPG,Prestige118back.JPG,2012-2013
Basketball 3,Prestige,Russell Westbrook,Prestige All-Stars West,12,PrestigeAllStarsWest12front.JPG,PrestigeAllStarsWest12front_thumb.JPG,PrestigeAllStarsWest12back.JPG,PrestigeAllStarsWest12back.JPG,2012-2013
Basketball 3,Prestige,Russell Westbrook,Prestige,140,Prestige140front.JPG,Prestige140front_thumb.JPG,Prestige140back.JPG,Prestige140back.JPG,2012-2013
Basketball 3,Signatures,DeQuan Jones,Signatures Film Autographs Red,191,SignaturesFilmAutographsRed191front.JPG,SignaturesFilmAutographsRed191front_thumb.JPG,SignaturesFilmAutographsRed191back.JPG,SignaturesFilmAutographsRed191back.JPG,2012-2013
Basketball 3,Donruss,Jalen Smith,Donruss,230,Donruss230front.JPG,Donruss230front_thumb.JPG,Donruss230back.JPG,Donruss230back.JPG,2020-2021
Basketball 3,Donruss,Josh Green,Donruss Great X-Pectations,18,DonrussGreatXPectations18front.JPG,DonrussGreatXPectations18front_thumb.JPG,DonrussGreatXPectations18back.JPG,DonrussGreatXPectations18back.JPG,2020-2021
Basketball 3,Donruss,Theo Maledon,Donruss,242,Donruss242front.JPG,Donruss242front_thumb.JPG,Donruss242back.JPG,Donruss242back.JPG,2020-2021
Basketball 3,Donruss,Cassius Stanley,Donruss,225,Donruss225front.JPG,Donruss225front_thumb.JPG,Donruss225back.JPG,Donruss225back.JPG,2020-2021
Basketball 3,Donruss,Giannis Antetokounmpo,Donruss,104,Donruss104front.JPG,Donruss104front_thumb.JPG,Donruss104back.JPG,Donruss104back.JPG,2020-2021
Basketball 3,Donruss,Jordan Nwora,Donruss,220,Donruss220front.JPG,Donruss220front_thumb.JPG,Donruss220back.JPG,Donruss220back.JPG,2020-2021
Basketball 3,Donruss,RJ Hampton,Donruss,237,Donruss237front.JPG,Donruss237front_thumb.JPG,Donruss237back.JPG,Donruss237back.JPG,2020-2021
Basketball 3,Donruss,Aleksej Pokusevski,Donruss,209,Donruss209front.JPG,Donruss209front_thumb.JPG,Donruss209back.JPG,Donruss209back.JPG,2020-2021
Basketball 3,Donruss,Tre Jones,Donruss Holo Orange Laser,244,DonrussHoloOrangeLaser244front.JPG,DonrussHoloOrangeLaser244front_thumb.JPG,DonrussHoloOrangeLaser244back.JPG,DonrussHoloOrangeLaser244back.JPG,2020-2021
Basketball 3,Donruss,Kira Lewis Jr.,Donruss,207,Donruss207front.JPG,Donruss207front_thumb.JPG,Donruss207back.JPG,Donruss207back.JPG,2020-2021
Basketball 3,Donruss,Kawhi Leonard,Donruss,146,Donruss146front.JPG,Donruss146front_thumb.JPG,Donruss146back.JPG,Donruss146back.JPG,2020-2021
Basketball 3,Donruss,"Malachi Flynn ",Donruss,215,Donruss215front.JPG,Donruss215front_thumb.JPG,Donruss215back.JPG,Donruss215back.JPG,2020-2021
Basketball 3,Donruss,Jayson Tatum,Donruss,166,Donruss166front.JPG,Donruss166front_thumb.JPG,Donruss166back.JPG,Donruss166back.JPG,2020-2021
Basketball 3,Donruss,Jayson Tatum,Donruss Holo Green and Yellow Laser,166,DonrussHoloGreenandYellowLaser166front.JPG,DonrussHoloGreenandYellowLaser166front_thumb.JPG,DonrussHoloGreenandYellowLaser166back.JPG,DonrussHoloGreenandYellowLaser166back.JPG,2020-2021
Basketball 3,Donruss,Devin Booker,Donruss,112,Donruss112front.JPG,Donruss112front_thumb.JPG,Donruss112back.JPG,Donruss112back.JPG,2020-2021
Basketball 3,Donruss,Trae Young,Donruss,153,Donruss153front.JPG,Donruss153front_thumb.JPG,Donruss153back.JPG,Donruss153back.JPG,2020-2021
Basketball 3,Donruss,Lebron James,Donruss,12,Donruss12front.JPG,Donruss12front_thumb.JPG,Donruss12back.JPG,Donruss12back.JPG,2020-2021
Basketball 3,Donruss,Kyrie Irving,Donruss,59,Donruss59front.JPG,Donruss59front_thumb.JPG,Donruss59back.JPG,Donruss59back.JPG,2020-2021
Basketball 3,Donruss,Cole Anthony,Donruss,208,Donruss208front.JPG,Donruss208front_thumb.JPG,Donruss208back.JPG,Donruss208back.JPG,2020-2021
Basketball 3,Donruss,Trae Young,Donruss Franchise Features,1,DonrussFranchiseFeatures1front.JPG,DonrussFranchiseFeatures1front_thumb.JPG,DonrussFranchiseFeatures1back.JPG,DonrussFranchiseFeatures1back.JPG,2020-2021
Basketball 3,Donruss,Isaac Okoro,Donruss,203,Donruss203front.JPG,Donruss203front_thumb.JPG,Donruss203back.JPG,Donruss203back.JPG,2020-2021
Basketball 3,Donruss,Tyrese Haliburton,Donruss,231,Donruss231front.JPG,Donruss231front_thumb.JPG,Donruss231back.JPG,Donruss231back.JPG,2020-2021
Basketball 3,Donruss,Precious Achiuwa,Donruss,235,Donruss235front.JPG,Donruss235front_thumb.JPG,Donruss235back.JPG,Donruss235back.JPG,2020-2021
Basketball 3,Donruss,Zion Williamson,Donruss Complete Players,9,DonrussCompletePlayers9front.JPG,DonrussCompletePlayers9front_thumb.JPG,DonrussCompletePlayers9back.JPG,DonrussCompletePlayers9back.JPG,2020-2021
Basketball 11,"Innovation ",Nate Wolters,Innovation Rookies Main Exhibit Signatures,31,InnovationRookiesMainExhibitSignatures31front.JPG,InnovationRookiesMainExhibitSignatures31front_thumb.JPG,InnovationRookiesMainExhibitSignatures31back.JPG,InnovationRookiesMainExhibitSignatures31back.JPG,2013-2014
Basketball 10,"Innovation ",Rory Sparrow,Innovation Game Jerseys Autographs,25,InnovationGameJerseysAutographs25front.JPG,InnovationGameJerseysAutographs25front_thumb.JPG,InnovationGameJerseysAutographs25back.JPG,InnovationGameJerseysAutographs25back.JPG,2013-2014
Basketball 10,"Innovation ",Fat Lever,Innovation Game Jerseys Autographs,5,InnovationGameJerseysAutographs5front.JPG,InnovationGameJerseysAutographs5front_thumb.JPG,InnovationGameJerseysAutographs5back.JPG,InnovationGameJerseysAutographs5back.JPG,2013-2014
Basketball 10,"Innovation ",Bill Laimbeer,Innovation Foundations Ink,94,InnovationFoundationsInk94front.JPG,InnovationFoundationsInk94front_thumb.JPG,InnovationFoundationsInk94back.JPG,InnovationFoundationsInk94back.JPG,2013-2014
Basketball 10,Hoops,RJ Hampton,Hoops Green,239,HoopsGreen239front.jpg,HoopsGreen239front_thumb.jpg,HoopsGreen239back.jpg,HoopsGreen239back.jpg,2020-2021
Basketball 11,Hoops,Jason Williams,Hoops SLAM,7,HoopsSLAM7front.JPG,HoopsSLAM7front_thumb.JPG,HoopsSLAM7back.JPG,HoopsSLAM7back.JPG,2020-2021
Basketball 11,Donruss,Stephen Curry,Donruss Franchise Features,10,DonrussFranchiseFeatures10front.JPG,DonrussFranchiseFeatures10front_thumb.JPG,DonrussFranchiseFeatures10back.JPG,DonrussFranchiseFeatures10back.JPG,2020-2021
Basketball 10,Donruss,Stephen Curry,Donruss Holo Orange Laser,41,DonrussHoloOrangeLaser41front.JPG,DonrussHoloOrangeLaser41front_thumb.JPG,DonrussHoloOrangeLaser41back.JPG,DonrussHoloOrangeLaser41back.JPG,2020-2021
Basketball 11,Donruss,Lebron James,Donruss All Time League Leaders,2,DonrussAllTimeLeagueLeaders2front.JPG,DonrussAllTimeLeagueLeaders2front_thumb.JPG,DonrussAllTimeLeagueLeaders2back.JPG,DonrussAllTimeLeagueLeaders2back.JPG,2020-2021
Basketball 11,Chronicles,Giannis Antetokounmpo,Panini Chronicles Pink Crusade,528,PaniniChroniclesPinkCrusade528front.JPG,PaniniChroniclesPinkCrusade528front_thumb.JPG,PaniniChroniclesPinkCrusade528back.JPG,PaniniChroniclesPinkCrusade528back.JPG,2019-2020
Basketball 10,Chronicles,RJ Barrett,Panini Chronicles Crusade,"540 ",PaniniChroniclesCrusade540front.JPG,PaniniChroniclesCrusade540front_thumb.JPG,PaniniChroniclesCrusade540back.JPG,PaniniChroniclesCrusade540back.JPG,2019-2020
Basketball 10,Chronicles,Zion Williamson,Panini Chronicles Pink Playbook,"169 ",PaniniChroniclesPinkPlaybook169front.JPG,PaniniChroniclesPinkPlaybook169front_thumb.JPG,PaniniChroniclesPinkPlaybook169back.JPG,PaniniChroniclesPinkPlaybook169back.JPG,2019-2020
Basketball 11,Chronicles,Zion Williamson,Panini Chronicles Panini,"120 ",PaniniChroniclesPanini120front.JPG,PaniniChroniclesPanini120front_thumb.JPG,PaniniChroniclesPanini120back.JPG,PaniniChroniclesPanini120back.JPG,2019-2020
Basketball 11,Chronicles,Zion Williamson,Panini Chronicles Pink Prestige,"60 ",PaniniChroniclesPinkPrestige60front.JPG,PaniniChroniclesPinkPrestige60front_thumb.JPG,PaniniChroniclesPinkPrestige60back.JPG,PaniniChroniclesPinkPrestige60back.JPG,2019-2020
Basketball 11,Spectra,Brad Daugherty,Panini Spectra Illustrious Legends Signatures,23,PaniniSpectraIllustriousLegendsSignatures23front.JPG,PaniniSpectraIllustriousLegendsSignatures23front_thumb.JPG,PaniniSpectraIllustriousLegendsSignatures23back.JPG,PaniniSpectraIllustriousLegendsSignatures23back.JPG,2017-2018
Basketball 11,Intrigue,Anderson Varejao,Panini Intrigue Autograph Jerseys,9,PaniniIntrigueAutographJerseys9front.JPG,PaniniIntrigueAutographJerseys9front_thumb.JPG,PaniniIntrigueAutographJerseys9back.JPG,PaniniIntrigueAutographJerseys9back.JPG,2012-2013
Basketball 11,SP,Mo Williams,SP Signature Edition SIGnificance,"SMW ",SPSignatureEditionSIGnificanceSMWfront.JPG,SPSignatureEditionSIGnificanceSMWfront_thumb.JPG,SPSignatureEditionSIGnificanceSMWback.JPG,SPSignatureEditionSIGnificanceSMWback.JPG,2009-2010
Basketball 11,Spectra,Mark Price,Panini Spectra Illustrious Legends Signatures,"19 ",PaniniSpectraIllustriousLegendsSignatures19front.JPG,PaniniSpectraIllustriousLegendsSignatures19front_thumb.JPG,PaniniSpectraIllustriousLegendsSignatures19back.JPG,PaniniSpectraIllustriousLegendsSignatures19back.JPG,2017-2018
Basketball 11,Elite,Tristan Thompson,Elite Rookie Inscriptions,49,EliteRookieInscriptions49front.JPG,EliteRookieInscriptions49front_thumb.JPG,EliteRookieInscriptions49back.JPG,EliteRookieInscriptions49back.JPG,2012-2013
Basketball 10,Season Update,Antawn Jamison,Panini Season Update Signatures,"41 ",PaniniSeasonUpdateSignatures41front.JPG,PaniniSeasonUpdateSignatures41front_thumb.JPG,PaniniSeasonUpdateSignatures41back.JPG,PaniniSeasonUpdateSignatures41back.JPG,2010-2011
Basketball 10,Totally Certified,Campy Russell,Totally Certified Autographs Blue,"214 ",TotallyCertifiedAutographsBlue214front.JPG,TotallyCertifiedAutographsBlue214front_thumb.JPG,TotallyCertifiedAutographsBlue214back.JPG,TotallyCertifiedAutographsBlue214back.JPG,2013-2014
Basketball 10,Chronicles,Jarrett Allen,Panini Chronicles Signature Swatches Blue #Jarrett Allen,"18 ",PaniniChroniclesSignatureSwatchesBlueJarrettAllen18front.JPG,PaniniChroniclesSignatureSwatchesBlueJarrettAllen18front_thumb.JPG,PaniniChroniclesSignatureSwatchesBlueJarrettAllen18back.JPG,PaniniChroniclesSignatureSwatchesBlueJarrettAllen18back.JPG,2017-2018
Basketball 10,Totally Certified,Kawhi Leonard,Totally Certified Fabric of the Game Materials Blue,FGKL,TotallyCertifiedFabricoftheGameMaterialsBlueFGKLfront.JPG,TotallyCertifiedFabricoftheGameMaterialsBlueFGKLfront_thumb.JPG,TotallyCertifiedFabricoftheGameMaterialsBlueFGKLback.JPG,TotallyCertifiedFabricoftheGameMaterialsBlueFGKLback.JPG,2015-2016
Basketball 10,Totally Certified,Kevin Durant,Totally Certified Materials Blue,"136 ",TotallyCertifiedMaterialsBlue136front.JPG,TotallyCertifiedMaterialsBlue136front_thumb.JPG,TotallyCertifiedMaterialsBlue136back.JPG,TotallyCertifiedMaterialsBlue136back.JPG,2013-2014
Graded Basketball 1,Donruss,Luka Doncic,Donruss,177,Donruss177front.JPG,Donruss177front_thumb.JPG,Donruss177back.JPG,Donruss177back.JPG,2018-2019
Basketball 11,Donruss,Fred VanVleet,Donruss Holo Yellow Laser,"9 ",DonrussHoloYellowLaser9front.JPG,DonrussHoloYellowLaser9front_thumb.JPG,DonrussHoloYellowLaser9back.JPG,DonrussHoloYellowLaser9back.JPG,2020-2021
Basketball 11,Luxe,Kevin Love,Panini Luxe Die Cut Autographs,"25 ",PaniniLuxeDieCutAutographs25front.JPG,PaniniLuxeDieCutAutographs25front_thumb.JPG,PaniniLuxeDieCutAutographs25back.JPG,PaniniLuxeDieCutAutographs25back.JPG,2015-2016
Basketball 11,Noir,Kevin Love,Panini Noir Jumbo Material #Kevin Love,"14 ",PaniniNoirJumboMaterialKevinLove14front.JPG,PaniniNoirJumboMaterialKevinLove14front_thumb.JPG,PaniniNoirJumboMaterialKevinLove14back.JPG,PaniniNoirJumboMaterialKevinLove14back.JPG,2018-2019
Basketball 11,SkyBox,Kevin Love,SkyBox,"205 ",SkyBox205front.JPG,SkyBox205front_thumb.JPG,SkyBox205back.JPG,SkyBox205back.JPG,2008-2009
Basketball 11,Topps,Kevin Love,Topps 1958-59 Variations,"200 ",Topps195859Variations200front.JPG,Topps195859Variations200front_thumb.JPG,Topps195859Variations200back.JPG,Topps195859Variations200back.JPG,2008-2009
Basketball 11,Fleer,Kevin Love,Fleer,205,Fleer205front.JPG,Fleer205front_thumb.JPG,Fleer205back.JPG,Fleer205back.JPG,2008-2009
Basketball 11,Chronicles,Kevin Love,Panini Chronicles Signatures Purple,"60 ",PaniniChroniclesSignaturesPurple60front.JPG,PaniniChroniclesSignaturesPurple60front_thumb.JPG,PaniniChroniclesSignaturesPurple60back.JPG,PaniniChroniclesSignaturesPurple60back.JPG,2018-2019
Basketball 11,Encased,Kevin Love,Panini Encased Label Materials,4,PaniniEncasedLabelMaterials4front.JPG,PaniniEncasedLabelMaterials4front_thumb.JPG,PaniniEncasedLabelMaterials4back.JPG,PaniniEncasedLabelMaterials4back.JPG,2019-2020
Basketball 11,Aficionado,Kevin Love,Panini Aficionado Authentics Memorabilia Prime,18,PaniniAficionadoAuthenticsMemorabiliaPrime18front.JPG,PaniniAficionadoAuthenticsMemorabiliaPrime18front_thumb.JPG,PaniniAficionadoAuthenticsMemorabiliaPrime18back.JPG,PaniniAficionadoAuthenticsMemorabiliaPrime18back.JPG,2016-2017
Basketball 11,Prestige,Kevin Love,Prestige Plus NBA Materials,15,PrestigePlusNBAMaterials15front.JPG,PrestigePlusNBAMaterials15front_thumb.JPG,PrestigePlusNBAMaterials15back.JPG,PrestigePlusNBAMaterials15back.JPG,2014-2015
Basketball 11,Donruss,Kevin Love,Donruss,86,Donruss86front.JPG,Donruss86front_thumb.JPG,Donruss86back.JPG,Donruss86back.JPG,2020-2021
Basketball 11,Chronicles,Kevin Love,Panini Chronicles,36,PaniniChronicles36front.JPG,PaniniChronicles36front_thumb.JPG,PaniniChronicles36back.JPG,PaniniChronicles36back.JPG,2019-2020
Basketball 11,Hoops,Kevin Love,Hoops,52,Hoops52front.JPG,Hoops52front_thumb.JPG,Hoops52back.JPG,Hoops52back.JPG,2020-2021
Basketball 11,Hoops,Kevin Love,Hoops Winter,52,HoopsWinter52front.JPG,HoopsWinter52front_thumb.JPG,HoopsWinter52back.JPG,HoopsWinter52back.JPG,2020-2021
Basketball 11,Contenders,Kevin Love,Panini Contenders,1,PaniniContenders1front.JPG,PaniniContenders1front_thumb.JPG,PaniniContenders1back.JPG,PaniniContenders1back.JPG,2020-2021
Basketball 11,Prestige,Kevin Love,Prestige,10,Prestige10front.JPG,Prestige10front_thumb.JPG,Prestige10back.JPG,Prestige10back.JPG,2015-2016
Graded Basketball 1,Donruss,Ja Morant,Donruss,202,Donruss202front.JPG,Donruss202front_thumb.JPG,Donruss202back.JPG,Donruss202back.JPG,2019-2020
